Document Title,Coding,Categories,Authors,,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
To Offload or Not? An Analysis of Big Data Offloading Strategies from Edge to Cloud,"Offloading, dynamic orchestration","14, 5, ",R. Singh; J. Kovacs; T. Kiss,,2022 IEEE World AI IoT Congress (AIIoT),13 Jul 2022,2022,,,46,52,"Large reductions in completion times can result from transfer of Big Data tasks from edge nodes to cloud resources, which can reduce the completion times by up to 97 % and meet client deadlines for computational tasks with responsive and agile solutions. Using scientific programs of varying computational complexity to model resource-intensive tasks, we demonstrate that the task complexity of the computational jobs, the Wide Area Network (WAN) speed and the potential overload of edge servers (as reflected by CPU workloads) are crucial for achieving total reductions in task completion time edge-cloud orchestrators are situated in edge nodes. With continuous access to the parameters of Wireless Local Area Network (WLAN) speed (for data exchanges between client and edge resources), WAN speed (for data exchanges between edge and cloud resources) edge server CPU workload and the complexities in Big Data analytics requirements, accurate edge-to-cloud offloading decisions can be made to minimise total task completion time by the use of cloud computing resources. This work supports the major research efforts have been recently made to develop novel resource orchestration solutions to flexibly link edge nodes with centralised cloud resources so as to maximise the efficiency with which such a continuum of resources can be accessed by users.",,978-1-6654-8453-4,10.1109/AIIoT54504.2022.9817276,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9817276,Application-level orchestration;Cloud-to-Edge con-tinuum;Big Data analytics;WLAN;WAN;Computational complexity;Server workload,Wide area networks;Cloud computing;Wireless LAN;Computational modeling;Big Data;Servers;Task analysis,Big Data;cloud computing;computational complexity;data analysis;resource allocation;wide area networks;wireless LAN,offload;Big Data offloading strategies;completion times;Big Data tasks;edge nodes;client deadlines;computational tasks;responsive solutions;agile solutions;computational complexity;resource-intensive tasks;task complexity;computational jobs;Wide Area Network speed;edge servers;total reductions;task completion time edge-cloud orchestrators;Wireless Local Area Network speed;data exchanges;WAN speed;Big Data analytics requirements;edge-to-cloud offloading decisions;total task completion time;cloud computing resources;novel resource orchestration solutions;centralised cloud resources,,,,18,IEEE,13 Jul 2022,,,IEEE,IEEE Conferences,,
Service Placement for Real-Time Applications: Rate-Adaptation and Load-Balancing at the Network Edge,"Dynamic placement, real-time support, mobility support","5, 12, 13, ",S. Kassir; G. d. Veciana; N. Wang; X. Wang; P. Palacharla,,2020 7th IEEE International Conference on Cyber Security and Cloud Computing (CSCloud)/2020 6th IEEE International Conference on Edge Computing and Scalable Cloud (EdgeCom),19 Aug 2020,2020,,,207,215,"Mobile Edge Computing may become a prevalent platform to support applications where mobile devices have limited compute, storage, energy and/or data privacy concerns. In this paper, we study the efficient provisioning and management of compute resources in the Edge-to-Cloud continuum for different types of real-time applications with timeliness requirements depending on application-level update rates and communication/compute delays. We begin by introducing a highly stylized network model allowing us to study the salient features of this problem including its sensitivity to compute vs. communication costs, application requirements, and traffic load variability. We then propose an online decentralized service placement algorithm, based on estimating network delays and adapting application update rates, which achieves high service availability. Our results exhibit how placement can be optimized and how a load-balancing strategy can achieve near-optimal service availability in large networks.",,978-1-7281-6550-9,10.1109/CSCloud-EdgeCom49738.2020.00044,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170993,Edge Computing;Fog Network Dimensioning;Rate Adaptation;Service Placement;Real-Time Applications,Cloud computing;Sensitivity;Multi-access edge computing;Conferences;Telecommunication traffic;Real-time systems;Mobile handsets,cloud computing;data privacy;mobile computing;radio networks;resource allocation;telecommunication traffic,real-time applications;rate-adaptation;network edge;Mobile Edge Computing;prevalent platform;mobile devices;efficient provisioning;Edge-to-Cloud continuum;timeliness requirements;application-level update rates;highly stylized network model;communication costs;application requirements;traffic load variability;online decentralized service placement algorithm;network delays;adapting application update rates;high service availability;load-balancing strategy;near-optimal service availability,,2,,40,,19 Aug 2020,,,IEEE,IEEE Conferences,,
Smart Schools: Using IoTs and Fog Computing to Predict Underperformance,"Layered structure, offloading, low latency, dynamic resource utilization","9,14, 12, 17, 5,",M. Sharaf,,2020 2nd International Conference on Computer and Information Sciences (ICCIS),24 Nov 2020,2020,,,1,6,"The existing centralized computing paradigm is no longer suitable to achieve the digital continuum in the ever-growing Internet of Things (IoTs). IoT-based applications and the data harvested by these smart objects require a design of a system model that can handle intensive data and provide suitable communication protocols. In this paper, we present a school attendance system that facilitates the usage and collaboration of the digital continuum in a manner that shuns high bandwidth consumption and big latency. This work has the following contributions: (a) offers a novel usage of IoTs and fog in the school absenteeism system. It promotes a transparent workload offloading among the digital continuum layers (IoTs, edge, HPC, big data, Artificial Intelligence (AI), cloud) using two famous protocols, MQTT and TCP; (b) presents a case study that utilizes the digital continuum to achieve a task of interest.",,978-1-7281-5467-1,10.1109/ICCIS49240.2020.9257689,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9257689,IoT;HPC;cloud computing;edge computing;latency;machine learning,Cloud computing;Computational modeling;Edge computing;Servers;Data models;Protocols;Histograms,educational administrative data processing;Internet of Things;protocols,smart schools;predict underperformance;existing centralized computing paradigm;IoT-based applications;smart objects;system model;intensive data;suitable communication protocols;school attendance system;high bandwidth consumption;fog;school absenteeism system;digital continuum layers;big data,,,,37,IEEE,24 Nov 2020,,,IEEE,IEEE Conferences,,
Flow-Based Programming for IoT Leveraging Fog Computing,"Heterogeneity, on-demand resource provisioning, service autonomy, environment responsiveness","9, 17, 1, ",T. Szydlo; R. Brzoza-Woch; J. Sendorek; M. Windak; C. Gniady,,2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),10 Aug 2017,2017,,,74,79,"The number of devices connected to the Internet is constantly growing. They are interacting with each other and produce data that has to be processed. The increasing data volume generated by the IoT devices is well handled by the flow based programming where data is moved through the networks of processes. Limited resources of the devices are compensated by the clouds creating the continuum. Nevertheless, to increase responsiveness in IoT or optimize the network bandwidth it might be necessary to move some processing to the fog i.e. to the devices located closer to the data sources. Execution of data flow on the number of heterogeneous IoT devices is not trivial as they offer different computational resources. In the paper, the concept of data flow transformation in order to execute parts of it, closer to the sources of data, on the devices with constrained resources is presented.",,978-1-5386-1759-5,10.1109/WETICE.2017.17,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8003792,,Cloud computing;Edge computing;Programming;Sensors;Image color analysis;Data processing,cloud computing;data flow analysis;Internet of Things;resource allocation,flow-based programming;fog computing;cloud computing;network bandwidth optimization;IoT responsiveness;heterogeneous IoT devices;computational resources;data flow transformation;constrained resources,,13,,20,,10 Aug 2017,,,IEEE,IEEE Conferences,,
Energy-Aware Workload Allocation for Distributed Deep Neural Networks in Edge-Cloud Continuum,"Energy awareness, edge intelligence, multi-layer structure","7, 6, 9, ",Y. Jin; J. Xu; Y. Huan; Y. Yan; L. Zheng; Z. Zou,,2019 32nd IEEE International System-on-Chip Conference (SOCC),7 May 2020,2019,,,213,217,"This paper presents an energy-aware workload allocation framework for Distributed Deep Neural Networks (DNNs) in the Edge-Cloud continuum. As opposed to conventional approaches where the inference is performed in a standalone device, a computing-communication mode is proposed to distribute computing tasks of different layers of DNNs to different levels of the Edge-Cloud network to achieve the minimum energy cost per inference. The optimal exit layer (EL) can be determined where the intermediate data of the neural networks are transmitted to the higher level in the Edge-Cloud continuum. Case studies are illustrated for AlexNet and VGG-16 considering a set of DNN processors and wireless interfaces. Using the GPU GTX1080 with 22.8 GOPS/W and the WiFi with 10 nJ/bit transmission efficiency, the optimized energy consumption for AlexNet is estimated to be 0.016 J when the inference exits from the edge at the EL2 (Conv1) layer. For VGG-16, the optimal EL is EL1 with the minimum inference cost of 0.0482 J.",2164-1706,978-1-7281-3483-3,10.1109/SOCC46988.2019.1570554761,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9088011,,,cloud computing;distributed processing;energy consumption;graphics processing units;neural nets;power aware computing;wireless LAN,Distributed Deep Neural Networks;Edge-Cloud continuum;energy-aware workload allocation framework;DNNs;computing-communication mode;Edge-Cloud network;minimum energy cost;optimal exit layer;optimized energy consumption;minimum inference cost;energy 0.016 J;energy 0.0482 J,,2,,14,IEEE,7 May 2020,,,IEEE,IEEE Conferences,,
Future Opportunistic Fog/Edge Computational Models and their Limitations,"pervasive computing, edge AI, QoS improvement","4, 6, 19, ",S. Singla; N. K. Bhati; S. Aswath,,"Fog, Edge, and Pervasive Computing in Intelligent IoT Driven Applications",,2021,,,27,46,"The Internet‐of‐Things (IoT) is the possible future of the Internet, where everything will be connected. The IoT is required to interface with billions of devices and individuals to bring positive benefits to us all. With this advance, cloud computing, close to its edge, prepares perfect models, for instance, multi access edge computing (MEC) and cloudlets, are seen as promising responses for dealing with the large volume of security‐important and time‐sensitive data that is being created by the IoT. Studies have revealed that Fog/Edge Computing (FEC) based organizations will assume an essential role in expanding the cloud by means of go‐between organizations at the edge of the framework. Dimness/Edge Computing‐based IoT's (DECIoT) configure service organization provisioning near the Cloud‐to‐Things continuum, thus making it appropriate for key applications. Moreover, the proximity of fog/edge devices to where the data is created makes it extend the advantage partition, organization transport, and assurance. Edge and fog registering are closely related – both indicate the ability to process information closer to the requester/buyer to reduce idleness cost and improve client experience. Both can channel information before it “hits” a major information lake for further utilization, reducing the amount of information that can be handled. The essential idea of edge and fog processing is to move information rationale (basically around information approval/information sentence structure checks) to an external ring of capacities. In this chapter we review the difficulties and future directions to be investigated in the role of fog, edge and pervasive computing.",,9781119670094,10.1002/9781119670087.ch2,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9292550.pdf&bkn=9292526&pdfType=chapter,,Organizations;Edge computing;Switches;Servers;Technological innovation;Security;Programming,,,,,,,,14 Dec 2020,,,IEEE,Wiley-IEEE Press eBook Chapters,,
Internet of Things: From Small- to Large-Scale Orchestration,"Autonomous components, continuum of scale, dynamic deployment","1, 9, 5,",C. Consel; M. Kabáč,,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS),17 Jul 2017,2017,,,1748,1755,"The domain of Internet of Things (IoT) is rapidly expanding beyond research, and becoming a major industrial market with such stakeholders as major manufacturers of chips and connected entities (i.e., things), and fast-growing operators of wide-area networks. Importantly, this emerging domain is driven by applications that leverage an IoT infrastructure to provide users with innovative, high-value services. IoT infrastructures range from small scale (e.g., homes and personal health) to large scale (e.g., cities and transportation systems). In this paper, we argue that there is a continuum between orchestrating connected entities in the small and in the large. We propose a unified approach to application development, which covers this spectrum. To do so, we examine the requirements for orchestrating connected entities and address them with domainspecific design concepts. We then show how to map these design concepts into dedicated programming patterns and runtime mechanisms. Our work revolves around domain-specific concepts and notations, integrated into a tool-based design methodology and dedicated to develop IoT applications. We have applied our work across a spectrum of infrastructure sizes, ranging from an automated pilot in avionics, to an assisted living platform for the home of seniors, to a parking management system in a smart city.",1063-6927,978-1-5386-1792-2,10.1109/ICDCS.2017.314,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980112,Internet of things;domain-specific languages;programming frameworks;MapReduce;orchestration,Monitoring;Programming;Aerospace electronics;Sensor phenomena and characterization;Internet of Things;Urban areas,Internet of Things;object-oriented programming;smart cities,Internet of Things;small-scale orchestration;large-scale orchestration;wide-area network;IoT infrastructure;innovative high-value service;personal health;transportation system;connected entity orchestration;domain-specific design concept;programming patterns;runtime mechanisms;tool-based design;IoT application development;infrastructure size;automated pilot;avionics;assisted living platform;seniors;parking management system;smart city,,6,,20,,17 Jul 2017,,,IEEE,IEEE Conferences,,
Analysis on data deduplication techniques of storage of big data in cloud,"High resource availability, low latency, geographic diustribution","27, 12, 4,",K. Vijayalakshmi; V. Jayalakshmi,,2021 5th International Conference on Computing Methodologies and Communication (ICCMC),6 May 2021,2021,,,976,983,"As nowadays, many devices are connected to the internet (Thing continuum), and many businesses deal with a huge amount of data, digital data growth is exponentially increased. Cloud computing is the optimal technology that provides many computing resources, especially storage for Big data. Cloud offers the best storage management to back up the big data from IoT, business, enterprise, or government. All data owners want the protection of their own data, so they encrypt the data before outsourcing data in clouds. As many users avail cloud storage, different users may outsource the same data with different encryption techniques, and it results in data duplication or data redundancy. Although cloud computing offers a huge amount of storage space, data duplication decreases the efficiency and performance of cloud storage, and also it results in poor data management and the requirement of high bandwidth. The deduplication technique is used to manage data duplication in clouds. Although there are some deduplication approaches used to avoid data redundancy, still they have lack efficiency. The main aim of this paper is to obtain sufficient knowledge and a good idea about deduplication techniques by surveying existing approaches and this work may help the researcher and practitioner for their future research in developing efficient cloud storage management techniques.",,978-1-6654-0360-3,10.1109/ICCMC51019.2021.9418445,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9418445,Big data;Cloud computing;Cloud storage;Data deduplication;Data duplication;data management;IoT,Cloud computing;Storage management;Redundancy;Government;Memory;Bandwidth;Big Data,cloud computing;cryptography;outsourcing;storage management,data redundancy;storage space;data duplication;poor data management;deduplication technique;efficient cloud storage management techniques;data deduplication techniques;big data;digital data growth;cloud computing;cloud offers;data owners;outsourcing data;users avail cloud storage;different encryption techniques,,,,23,,6 May 2021,,,IEEE,IEEE Conferences,,
Pricing Tradeoffs for Data Analytics in Fog–Cloud Scenarios,"Cross-level cooperation, QoS management, cost management","2, 19, 20, ",Y. Ruan; L. Zheng; M. Gorlatova; M. Chiang; C. Joe‐Wong,,"Fog and Fogonomics: Challenges and Practices of Fog Computing, Communication, Networking, Strategy, and Economics",,2020,,,83,106,"Fog computing represents a generalization of traditional cloud computing, in which application functionality resides at a local device and a remote cloud server. This chapter presents an initial survey of fogonomics, using a case study of distributed data processing to illustrate its research challenges. In particular, it demonstrates the trade‐off between balancing quality‐of‐service and service cost when distributing application tasks between cloud and edge devices, given a set of service prices. Applications utilizing fog architectures will require access to both computing devices at different levels of the cloud‐to‐things continuum and network bandwidth to connect these devices together. The chapter discusses the economics faced by fog applications today. It provides an overview of typical fog application architectures on which economic markets are constructed. The chapter also illustrates how price schemes impact the design of fog applications through the case study.",,9781119501107,10.1002/9781119501121.ch4,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9215562.pdf&bkn=9215548&pdfType=chapter,,Cloud computing;Pricing;Economics;Edge computing;Servers;Computer architecture;Sensors,,,,1,,,,7 Oct 2020,,,Wiley,Wiley Telecom eBook Chapters,,
Application of Fog Architecture Based on Multi-agent Mechanism in CPPS,"Low latency, reliability, self-adaptation, multi-agent, geographically distributed, resource management","12, 16, 5, 1, 3, 17,",H. Wang; Q. Wang; Y. Li; G. Chen; Y. Tang,,2018 2nd IEEE Conference on Energy Internet and Energy System Integration (EI2),20 Dec 2018,2018,,,1,6,"In the cyber-physic power system (CPPS) scenario, an increasing number of new devices, such as large-scale electric meters, embedded controllers and powerful computing devices are introduced into the power system. However, the architecture of present power system limits the seamless integration of the information system and physical systems. In this paper, a decentralized CPPS-fog architecture is proposed to address this issue. The proposed architecture distributes computing, communication storage, and control these services to the edge network along the cloud-to-thing continuum while the latter is commonly used in the smart grid. By applying the new architecture to the power system, the intelligence resources of the power system are effectively allocated to the parts closer to end users. Moreover, the realtime monitoring, on-line simulation, information integration, large-scale distributed control, and information security protection are easily achieved. The feasibility and advantages of the CPPS-fog architecture are demonstrated by the application in an island micro CPPS grid project.",,978-1-5386-8549-5,10.1109/EI2.2018.8582467,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8582467,cyber-physic power system (CPPS);fog;architecture;smart grid,Computer architecture;Cloud computing;Data centers;Task analysis;Companies;Smart grids,cloud computing;cyber-physical systems;distributed power generation;multi-agent systems;power engineering computing;security of data;smart power grids;software architecture,edge network;cloud-to-thing continuum;intelligence resources;island microCPPS grid project;multiagent mechanism;information security protection;cyber-physic power system scenario;decentralized CPPS-fog architecture;physical systems;information system,,1,,12,,20 Dec 2018,,,IEEE,IEEE Conferences,,
Managing the Resource Continuum in a Real Video Surveillance Scenario,"real-time support, dynamic resource management, energy consumption optimization","12, 5, 17, 7,",F. Sciamanna; M. Zanella; G. Massari; W. Fornaciari,,2021 24th Euromicro Conference on Digital System Design (DSD),11 Oct 2021,2021,,,58,61,"Over the last years, the number of IoT devices has grown exponentially. Thus, Fog and Edge computing move part of the computation closer to data sources, exploiting interconnected devices in a computing continuum viewpoint. These devices are heterogeneous in terms of performance, features, and capabilities, requiring proper programming models and run-time management layers. This work presents a first version of the BarMan open-source framework. We developed a run-time task allocation policy to maximize application performance and through an experimental evaluation performed on a real cluster, we evaluated different execution scenarios. The results show an improvement up to 66% on the frame processing latency with respect to a monolithic solution.",,978-1-6654-2703-6,10.1109/DSD53832.2021.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556331,Fog Computing;Resource Management;Programming model;Task allocation strategy,Performance evaluation;Digital systems;Computational modeling;Programming;Video surveillance;Resource management;Task analysis,Internet of Things;multiprocessing systems;real-time systems;resource allocation;video surveillance,Edge computing move part;data sources;interconnected devices;computing continuum viewpoint;proper programming models;run-time management layers;BarMan open-source framework;run-time task allocation policy;application performance;experimental evaluation;different execution scenarios;resource continuum;video surveillance scenario;IoT devices;Fog,,,,21,,11 Oct 2021,,,IEEE,IEEE Conferences,,
Delay-Aware Task Offloading in Shared Fog Networks,"Offloading, real-time support, geo-distribution, heterogeneous hardware","14, 12, 3, 8,",Y. Jiang; D. H. K. Tsang,,IEEE Internet of Things Journal,16 Jan 2019,2018,5,6,4945,4956,"Offloading computation tasks from resource-poor end devices to powerful backend clouds has become a prevalent solution thanks to the rapid development of cloud computing. However, modern Internet of Things applications, such as augmented reality and real-time monitoring, bring stringent delay requirements to the computation tasks in the device-to-computing-facility communications. To better accommodate the delay requirements of the computation tasks, the recently proposed fog computing architecture suggests that these computation tasks can be extensively offloaded to the distributed computation facilities along the cloud-to-things continuum. These computation facilities, including central clouds and the computation facilities standing at the network edge, jointly form an overlay network, named a fog network, to provide fog computing services for end devices. This paper targets a practical and efficient scheme to schedule tasks with heterogeneous delay sensitivities in a shared fog network. A mathematical model is first constructed to capture the major characteristics of a fog network. The model enforces lexicographic max–min fairness, an enhanced metric compared to conventional max–min fairness. The task offloading problem is modeled as an integer nonlinear program. An efficient and exact solution method is proposed based on problem-specific analysis. Finally, synthesized-trace-driven simulations demonstrate the efficacy of our proposed offloading scheme.",2327-4662,,10.1109/JIOT.2018.2880250,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8527523,Fog computing;optimization;resource allocation,Task analysis;Delays;Cloud computing;Edge computing;Mathematical model;Resource management,,,,15,,31,IEEE,8 Nov 2018,,,IEEE,IEEE Journals,,
A Case Study of an Organizational Continuum of a Technological Platform in a Japanese Accounting Cloud Service,Not about ECC,,Y. Mizuno; N. Odake,,2017 Portland International Conference on Management of Engineering and Technology (PICMET),30 Nov 2017,2017,,,1,11,"The purpose of this study is to clarify an organizational continuum of a technological platform development in a Japanese accounting cloud service. The authors continuously have been studying an accounting cloud service, which adopts two-sided markets structure and freemium business model on a core and periphery platform with modular designs. As the results of our case study, the authors obtain three findings. First, the Japanese accounting cloud service, which runs its business with regional banks in retail banking, has been exploiting its platform into partners' customers. Second, the accounting cloud service has been building up from a supplychain platform to an industrial platform in retail banking in four years since its entrepreneurship. Third, the accounting cloud service has been transforming its cloud-to-cloud service connections from weak-tied interfaces developed by other companies to its own strong-tied interfaces. Therefore, startingup cloud service providers should not only utilize weak-tied interfaces to invite two-sides onto its platform to establish a structural hole within its two-sided markets structure, but also should develop its own strong-tied interfaces and indirect ties to tighten upon its two-sided markets structure to realize values buried in its cloud ecosystem.",,978-1-890843-36-6,10.23919/PICMET.2017.8125311,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125311,,Cloud computing;Technological innovation;Ecosystems;Companies;Banking,banking;cloud computing;financial management;innovation management;organisational aspects,retail banking;cloud-to-cloud service connections;startingup cloud service providers;two-sided markets structure;cloud ecosystem;organizational continuum;japanese accounting cloud service;technological platform development;time 4.0 year,,,,31,,30 Nov 2017,,,IEEE,IEEE Conferences,,
A Methodology and Simulation-based Toolchain for Estimating Deployment Performance of Smart Collective Services at the Edge,"Heterogeneity, dynamicity, uncertainty, use of AI, resource management, QoS targets","8, 5, 18, 6, 17, 19,",R. Casadei; G. Fortino; D. Pianini; A. Placuzzi; C. Savaglio; M. Viroli,,IEEE Internet of Things Journal,,2022,PP,99,1,1,"Research trends are pushing artificial intelligence (AI) across the IoT-Edge-Fog-Cloud continuum, to enable effective data analytics, decision making, as well as efficient use of resources for QoS targets. Approaches for collective adaptive systems engineering, such as aggregate computing, provide declarative programming models and tools for dealing with the uncertainty and the complexity that may arise from scale, heterogeneity, and dynamicity. Crucially, aggregate computing architecture allows for “pulverisation”: applications can be decomposed into many deployable micro-modules that can be spread across the ICT infrastructure, thus allowing multiple potential deployment configurations for the same application logic. This article studies the deployment architecture of aggregate-based edge services and its implications in terms of performance and cost. The goal is to provide methodological guidelines and a model-based toolchain for the generation and simulation-based evaluation of potential deployments. First, we address this subject methodologically by proposing an approach based on deployment code generators and a simulation phase whose obtained solutions are assessed with respect to their performance and costs. We then tailor this approach to aggregate computing applications deployed onto an IoT-Edge-Fog-Cloud infrastructure, and we develop a corresponding toolchain based on Protelis and EdgeCloudSim. Finally, we evaluate the approach and tools through a case study of edge multimedia streaming, where the edge ecosystem exhibits intelligence by self-organising into clusters to promote load-balancing in large-scale dynamic settings.",2327-4662,,10.1109/JIOT.2022.3172470,"Ministero dellIstruzione dellUniversit e della Ricerca(grant numbers:PRIN 2017 N. 2017KRC7KT ""Fluidware""); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9768117,Cyber-Physical Systems;Mobile and Ubiquitous Systems;Service Middleware and Platform;Cloud Services;Edge Intelligence;Collective Services;Pulverisable Architectures;Deployment methodology;Simulation.,Aggregates;Computational modeling;Costs;Internet of Things;Programming;Computer architecture;Adaptive systems,,,,,,,CCBY,4 May 2022,,,IEEE,IEEE Early Access Articles,,
Towards Low-Latency Service Delivery in a Continuum of Virtual Resources: State-of-the-Art and Research Directions,"Edge intelligence, low latencies, NFV","6, 12,22,",J. Santos; T. Wauters; B. Volckaert; F. De Turck,,IEEE Communications Surveys & Tutorials,19 Nov 2021,2021,23,4,2557,2589,"The advent of softwarized networks has enabled the deployment of chains of virtual network and service components on computational resources from the cloud up to the edge, creating a continuum of virtual resources. The next generation of low latency applications (e.g., Virtual Reality (VR), autonomous cars) adds even more stringent requirements to the infrastructure, calling for considerable advancements towards cloud-native micro-service-based architectures. This article presents a comprehensive survey on ongoing research aiming to effectively support low latency services throughout their execution lifetime in next-generation networks. The current state-of-the-art is critically reviewed to identify the most promising trends that will strongly impact the full applicability and high performance of low latency services. This article proposes a taxonomy as well as specific evaluation criteria to classify research across different domains addressing low latency service delivery. Current architectural paradigms such as Multi-access Edge Computing (MEC) and Fog Computing (FC) alongside novel trends on communication networks are discussed. Among these, the integration of Machine Learning (ML) and Artificial intelligence (AI) is introduced as a key research field in current literature towards autonomous network management. A discussion on open challenges and future research directions on low-latency service delivery leads to the conclusion, offering lessons learned and prospects on emerging use cases such as Extended Reality (XR), in which novel trends will play a major role.",1553-877X,,10.1109/COMST.2021.3095358,Scientific Research-Flanders (FWO-V) through the Project “Intelligent Dense and Longe Range IoT Networks (IDEAL-IoT)”(grant numbers:S004017N);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9476028,Low latency;next-generation networks;cloud-native;autonomous networks;orchestration;5G/6G,Tutorials;Next generation networking;Taxonomy;Market research;5G mobile communication;Computer architecture;Cloud computing,artificial intelligence;cloud computing;learning (artificial intelligence);mobile computing;service-oriented architecture;telecommunication network management;virtual reality,towards low-latency service delivery;virtual resources;softwarized networks;virtual network;service components;computational resources;low latency applications;Virtual Reality;cloud-native microservice-based architectures;low latency services;next-generation networks;low latency service delivery;current architectural paradigms;communication networks;key research field;autonomous network management,,6,,189,IEEE,7 Jul 2021,,,IEEE,IEEE Journals,,
Optimising Cost vs Accuracy of Decentralised Analytics in Fog Computing Environments,"Decentralized AI, distributed training, cost management, cooperative devices","6, 20, 2, ",L. Valerio; A. Passarella; M. Conti,,IEEE Transactions on Network Science and Engineering,27 Jun 2022,2022,9,4,1986,2002,"The exponential growth of devices and data at the edges of the Internet is rising scalability and privacy concerns on approaches based exclusively on remote cloud platforms. Data gravity, a fundamental concept in Fog Computing, points towards decentralisation of computation for data analysis, as a viable alternative to address those concerns. Decentralising AI tasks on several cooperative devices means identifying the optimal set of locations or Collection Points (CP for short) to use, in the continuum between full centralisation (i.e., all data on a single device) and full decentralisation (i.e., data on source locations). We propose an analytical framework able to find the optimal operating point in this continuum, linking the accuracy of the learning task with the corresponding network and computational cost for moving data and running the distributed training at the CPs. We show through simulations that the model accurately predicts the optimal trade-off, quite often an intermediate point between full centralisation and full decentralisation, showing also a significant cost saving w.r.t. both of them. Finally, the analytical model admits closed-form or numeric solutions, making it not only a performance evaluation instrument but also a design tool to configure a given distributed learning task optimally before its deployment.",2327-4697,,10.1109/TNSE.2021.3101986,"SAI:Social Explainable AI(grant numbers:CHIST-ERA-19-XAI-010); HumanE AI Network(grant numbers:#952026); SoBigData++(grant numbers:#871042); Operational Knowledge from Insights and Analytics on Industrial Data(grant numbers:MIUR PON OK-INSAID,ARS01_00917); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9507297,Distributed machine learning;DSVRG;optimal configuration;edge computing.,Data models;Computational modeling;Analytical models;Distributed databases;Task analysis;Cloud computing;Data analysis,cloud computing;data analysis;data privacy;learning (artificial intelligence);software cost estimation,source location;computational cost;distributed training;distributed learning;decentralised analytics;data privacy;remote cloud platforms;data gravity;data analysis;fog computing;data location;collection points;AI decentralisation,,,,43,IEEE,4 Aug 2021,,,IEEE,IEEE Journals,,
Teaching Experiences in Academia to Understand the Impact of Smart Cities,"AI application, mobility support, integration into society, energy efficiency","6, 13, 25, 7,",J. J. Gomez-Sanz; E. Alba; J. M. Fernandez-Gũell,,NA,NA,IEEE Internet of Things Magazine,6 Nov 2019,2019,2,2,20,24,"One of the key technologies transforming cities into smart cities is the Internet of Things or IoT. Nevertheless, there are reasons to believe that third parties, such as authorities, citizens, and companies, do not really understand what IoT and other enabling technologies bring to them. Instead, they live in a continuum of delivering vertical (final services) one after another where technology is the driver. As higher education practitioners, we have the responsibility of training future professionals so that they can explore and explain what smart cities bring in a more citizen-centric way. This article accounts experiences in teaching and research aimed at this goal. We summarize the expertise of three universities in Spain: the School of Urban Studies of the Politechnic University of Madrid, the Computer Science School of the Complutense University of Madrid, and the University of Malaga. This view is complemented with a discussion of other higher education training options focused on smart cities. The analysis of these higher education titles (degrees and Master's) is that they are highly influenced by technology. Frequently, teaching staff and/or course attendants have a technical background. More social sciences involvement is necessary to have a broader perspective on smart cities.",2576-3199,,10.1109/IOTM.001.1900015,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8892764,,Smart cities;Training;Internet of Things;Complexity theory,computer aided instruction;computer science education;educational courses;educational institutions;further education;Internet of Things;smart cities;teaching,computer science school;complutense university of Madrid;politechnic university of Madrid;Internet of things;higher education training options;IoT;smart cities;teaching experiences,,,,20,IEEE,6 Nov 2019,,,IEEE,IEEE Magazines
